clientID,POS,traitName,traitWgt,metricName,metricWgt,statName,statWgt,inverse,
4,M,DEFENDING,0.204,On Ball,0.314,slidingTackles90,0.004916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,successfulSlidingTackles90,0,0,
4,M,DEFENDING,0.204,On Ball,0.314,successfulSlidingTacklesPct,0,0,
4,M,DEFENDING,0.204,Off Ball,0.093,ballRecoveries90,0.299,0,
4,M,DEFENDING,0.204,Off Ball,0.093,clearances90,0.173,0,
4,M,DEFENDING,0.204,Off Ball,0.093,counterpressingRecoveries90,0.126,0,
4,M,DEFENDING,0.204,Off Ball,0.093,dangerousOpponentHalfRecoveries90,0.105,0,
4,M,DEFENDING,0.204,Off Ball,0.093,interceptions90,0.087,0,
4,M,DEFENDING,0.204,Off Ball,0.093,looseBallDuels90,0.073,0,
4,M,DEFENDING,0.204,Off Ball,0.093,looseBallDuelsWon90,0.056,0,
4,M,DEFENDING,0.204,Off Ball,0.093,looseBallDuelsWonPct,0.036,0,
4,M,DEFENDING,0.204,Off Ball,0.093,opponentHalfRecoveries90,0.028,0,
4,M,DEFENDING,0.204,Off Ball,0.093,recoveries90,0.016,0,
4,M,DEFENDING,0.204,Fouls,0.021,adjCards90,0.659,1,
4,M,DEFENDING,0.204,Fouls,0.021,directRedCards,0,1,
4,M,DEFENDING,0.204,Fouls,0.021,fouls90,0.326,1,
4,M,DEFENDING,0.204,Fouls,0.021,redCards,0,1,
4,M,DEFENDING,0.204,Fouls,0.021,yellowCards,0,1,
4,M,DEFENDING,0.204,Fouls,0.021,yellowCardsPerFoul,0.015,1,
4,DM,SCORING,0.293,Goalscoring,0.499,goals90,1,0,
4,DM,SCORING,0.293,Goalscoring,0.499,goalsPassesRatio,0,0,
4,DM,SCORING,0.293,Goalscoring,0.499,goalsWithoutPenalties90,0,0,
4,DM,SCORING,0.293,Shooting,0.329,headShots90,0.435,0,
4,DM,SCORING,0.293,Shooting,0.329,shots90,0.182,0,
4,DM,SCORING,0.293,Shooting,0.329,shotsBlocked90,0.166,1,
4,DM,SCORING,0.293,Shooting,0.329,shotsOnTarget90,0.096,0,
4,DM,SCORING,0.293,Shooting,0.329,xgShot90,0.072,0,
4,DM,SCORING,0.293,Shooting,0.329,shotsPassesRatio,0.048,0,
4,DM,SCORING,0.293,Conversion,0.171,goalConversionPct,0.662,0,
4,DM,SCORING,0.293,Conversion,0.171,headShotsOnTargetPct,0.23,0,
4,DM,SCORING,0.293,Conversion,0.171,goalsShotsRatio,0.064,0,
4,DM,SCORING,0.293,Conversion,0.171,goalsShotsOnTargetRatio,0.044,0,
4,DM,SCORING,0.293,Positioning,0,passesToFinalThird90,0.292,0,
4,DM,SCORING,0.293,Positioning,0,progressiveRun90,0.244,0,
4,DM,SCORING,0.293,Positioning,0,touchInBox90,0.203,0,
4,DM,SCORING,0.293,Positioning,0,passesToFinalThirdRatio,0.15,0,
4,DM,SCORING,0.293,Positioning,0,touchInBoxReceivedPassRatio,0.112,0,
4,DM,CREATING,0.257,Assists,0.528,assists90,0.413,0,
4,DM,CREATING,0.257,Assists,0.528,secondAssists90,0.154,0,
4,DM,CREATING,0.257,Assists,0.528,shotAssists90,0.143,0,
4,DM,CREATING,0.257,Assists,0.528,shotOnTargetAssists90,0.142,0,
4,DM,CREATING,0.257,Assists,0.528,thirdAssists90,0.101,0,
4,DM,CREATING,0.257,Assists,0.528,xgAssist90,0.027,0,
4,DM,CREATING,0.257,Assists,0.528,successfulShotAssistsPct,0.02,0,
4,DM,CREATING,0.257,Assists,0.528,assistsPassesRatio,0,0,
