clientID,POS,traitName,traitWgt,metricName,metricWgt,statName,statWgt,inverse
3,GF,BALL WINNING,0.3,POWER,0.1,Broken Tackle,0.4,0
3,GF,BALL WINNING,0.3,POWER,0.1,Contested Possession Rate,0.35,0
3,GF,BALL WINNING,0.3,RECEIVES,0.4,Loose Ball Get,0.3,0
3,GF,BALL WINNING,0.3,RECEIVES,0.4,Loose Ball Get Post Clearance,0.02,0
3,GF,BALL WINNING,0.3,RECEIVES,0.4,Loose Ball Get Pre Clearance,0.02,0
3,GF,BALL WINNING,0.3,RECEIVES,0.4,Handball Receive,0.15,0
3,GF,BALL WINNING,0.3,RECEIVES,0.4,Uncontested Possession,0.2,0
3,GF,BALL WINNING,0.3,RECEIVES,0.4,Uncontested Mark,0.22,0
3,GF,BALL WINNING,0.3,RECEIVES,0.4,Disposal Post Clearance,0.07,0
3,GF,BALL WINNING,0.3,RECEIVES,0.4,Handball Receive Disposal Pct,0.02,0
3,GF,BALL USE,0.35,HANDBALLING,0.15,Handball,0.1,0
3,GF,BALL USE,0.35,HANDBALLING,0.15,Handball Efficiency,0.35,0
3,GF,BALL USE,0.35,HANDBALLING,0.15,Effective Handball,0.55,0
3,GF,BALL USE,0.35,KICKING,0.35,Kick,0.25,0
3,GF,BALL USE,0.35,KICKING,0.35,Kicking Efficiency,0.1,0
3,GF,BALL USE,0.35,KICKING,0.35,Clanger Kick Inverted,0.25,1
3,GF,BALL USE,0.35,KICKING,0.35,Effective Kick Short,0.28,0
3,GF,BALL USE,0.35,KICKING,0.35,Effective Long Kick,0.12,0
3,GF,BALL USE,0.35,GOAL KICKING,0.35,Goal,0.44,0
3,GF,BALL USE,0.35,GOAL KICKING,0.35,Missed Shots Inverted,0.04,1
3,GF,BALL USE,0.35,GOAL KICKING,0.35,Points,0.22,0
3,GF,BALL USE,0.35,GOAL KICKING,0.35,Shot At Goal,0.25,0
3,GF,BALL USE,0.35,GOAL KICKING,0.35,Score Accuracy Percentage,0.05,0
3,GF,BALL USE,0.35,CONNECTING,0.15,Inside 50,0.2,0
3,GF,BALL USE,0.35,CONNECTING,0.15,Rebound 50,0.05,0
3,GF,BALL USE,0.35,CONNECTING,0.15,I50 Disposal Pct,0.1,0
3,GF,BALL USE,0.35,CONNECTING,0.15,R50 Disposal Pct,0.05,0
3,GF,BALL USE,0.35,CONNECTING,0.15,Running Bounce,0.1,0
3,GF,BALL USE,0.35,CONNECTING,0.15,Handball Receive,0.1,0
3,GF,BALL USE,0.35,CONNECTING,0.15,Mark Play On,0.1,0
3,GF,BALL USE,0.35,CONNECTING,0.15,Contested Knock On,0.05,0
3,GF,BALL USE,0.35,CONNECTING,0.15,Score Assist,0.1,0
3,GF,BALL USE,0.35,CONNECTING,0.15,Score Involvement,0.15,0
3,GF,AERIAL,0.2,MARKING,0.35,Mark,0.35,0
3,GF,AERIAL,0.2,MARKING,0.35,Mark Dropped Inverted,0.05,1
3,GF,AERIAL,0.2,MARKING,0.35,Mark On Lead,0.4,0
3,GF,AERIAL,0.2,MARKING,0.35,Mark Disposal Pct,0.2,0
3,GF,AERIAL,0.2,CONTESTED,0.45,Contested Mark,0.5,0
3,GF,AERIAL,0.2,CONTESTED,0.45,Contested Mark From Opp,0.05,0
3,GF,AERIAL,0.2,CONTESTED,0.45,Free Against Marking Inverted,0.05,1
3,GF,AERIAL,0.2,CONTESTED,0.45,Contested Mark Disposal Pct,0.4,0
3,GF,AERIAL,0.2,MOKS,0.2,Contested Mark From Opp,0.1,0
3,GF,AERIAL,0.2,MOKS,0.2,Mark From Opposition Kick,0.6,0
3,GF,AERIAL,0.2,MOKS,0.2,Uncontested Mark From Opp,0.3,0
3,GF,AERIAL,0.2,RUCK,0,Hit Out Sharked Inverted,0,1
3,GF,AERIAL,0.2,RUCK,0,Hit Out To Advantage,0,0
3,GF,AERIAL,0.2,RUCK,0,Hitout,0,0
3,GF,AERIAL,0.2,RUCK,0,Hitout To Advantage Win Percentage,0,0
3,GF,AERIAL,0.2,RUCK,0,Ruck Contest,0,0
3,GF,DEFENCE,0.15,PRESSURE,0.35,Player Attempted Tackle,0.7,0
3,GF,DEFENCE,0.15,PRESSURE,0.35,Player Ineffective Tackle Inverted,0.05,1
3,GF,DEFENCE,0.15,PRESSURE,0.35,Player Tackle Efficiency,0.25,0
3,GF,DEFENCE,0.15,TACKLING,0.4,Missed Tackle Inverted,0.08,1
3,GF,DEFENCE,0.15,TACKLING,0.4,Rundown Tackle,0.02,0
3,GF,DEFENCE,0.15,TACKLING,0.4,Tackle,0.5,0
3,GF,DEFENCE,0.15,TACKLING,0.4,Tackle Post Clearance,0.15,0
3,GF,DEFENCE,0.15,TACKLING,0.4,Tackle Pre Clearance,0.15,0
3,GF,DEFENCE,0.15,TACKLING,0.4,Free Against Tackling Inverted,0.1,1
3,GF,DEFENCE,0.15,INTERCEPTING,0.1,Intercept,0.6,0
3,GF,DEFENCE,0.15,INTERCEPTING,0.1,Intercept Disposal Pct,0.4,0
3,GF,DEFENCE,0.15,NEUTRALISE,0.15,Smother,0.15,0
3,GF,DEFENCE,0.15,NEUTRALISE,0.15,Spoil,0.4,0
3,GF,DEFENCE,0.15,NEUTRALISE,0.15,Spoil Efficiency,0.1,0
3,GF,DEFENCE,0.15,NEUTRALISE,0.15,Spoil Gaining Possession,0.35,0
3,M,BALL WINNING,0.35,STOPPAGE,0.35,Clearance,0.15,0
3,M,BALL WINNING,0.35,STOPPAGE,0.35,First Possession,0.4,0
3,M,BALL WINNING,0.35,STOPPAGE,0.35,Hit Out Sharked,0.02,0
3,M,BALL WINNING,0.35,STOPPAGE,0.35,Gather From Hitout,0.03,0
3,M,BALL WINNING,0.35,STOPPAGE,0.35,Disposal Pre Clearance,0.4,0
3,M,BALL WINNING,0.35,CONTEST,0.25,Hard Ball Get,0.15,0
3,M,BALL WINNING,0.35,CONTEST,0.25,Hard Ball Get Post Clearance,0.02,0
3,M,BALL WINNING,0.35,CONTEST,0.25,Hand Ball Pre Clearance,0.1,0
3,M,BALL WINNING,0.35,CONTEST,0.25,Free For,0.15,0
3,M,BALL WINNING,0.35,CONTEST,0.25,Free For Post Clearance,0.07,0
3,M,BALL WINNING,0.35,CONTEST,0.25,Free For Pre Clearance,0.02,0
3,M,BALL WINNING,0.35,CONTEST,0.25,Crumb,0.02,0
3,M,BALL WINNING,0.35,CONTEST,0.25,Gather,0.02,0
3,M,BALL WINNING,0.35,CONTEST,0.25,Contested Possession,0.45,0
3,M,BALL WINNING,0.35,POWER,0.15,First Possession to Clearance Percentage,0.45,0
3,M,BALL WINNING,0.35,POWER,0.15,Broken Tackle,0.4,0
3,M,BALL WINNING,0.35,POWER,0.15,Contested Possession Rate,0.15,0
3,M,BALL WINNING,0.35,RECEIVES,0.25,Loose Ball Get,0.25,0
3,M,BALL WINNING,0.35,RECEIVES,0.25,Loose Ball Get Post Clearance,0.06,0
3,M,BALL WINNING,0.35,RECEIVES,0.25,Loose Ball Get Pre Clearance,0.02,0
3,M,BALL WINNING,0.35,RECEIVES,0.25,Handball Receive,0.15,0
3,M,BALL WINNING,0.35,RECEIVES,0.25,Uncontested Possession,0.18,0
3,M,BALL WINNING,0.35,RECEIVES,0.25,Uncontested Mark,0.25,0
3,M,BALL WINNING,0.35,RECEIVES,0.25,Disposal Post Clearance,0.07,0
3,M,BALL WINNING,0.35,RECEIVES,0.25,Handball Receive Disposal Pct,0.02,0
3,M,BALL USE,0.3,HANDBALLING,0.25,Handball,0.1,0
3,M,BALL USE,0.3,HANDBALLING,0.25,Handball Efficiency,0.35,0
3,M,BALL USE,0.3,HANDBALLING,0.25,Effective Handball,0.55,0
3,M,BALL USE,0.3,KICKING,0.35,Kick,0.25,0
3,M,BALL USE,0.3,KICKING,0.35,Kicking Efficiency,0.1,0
3,M,BALL USE,0.3,KICKING,0.35,Clanger Kick Inverted,0.25,1
3,M,BALL USE,0.3,KICKING,0.35,Effective Kick Short,0.28,0
3,M,BALL USE,0.3,KICKING,0.35,Effective Long Kick,0.12,0
3,M,BALL USE,0.3,GOAL KICKING,0.2,Goal,0.25,0
3,M,BALL USE,0.3,GOAL KICKING,0.2,Missed Shots Inverted,0.03,1
3,M,BALL USE,0.3,GOAL KICKING,0.2,Points,0.2,0
3,M,BALL USE,0.3,GOAL KICKING,0.2,Shot At Goal,0.45,0
3,M,BALL USE,0.3,GOAL KICKING,0.2,Score Accuracy Percentage,0.07,0
3,M,BALL USE,0.3,CONNECTING,0.2,Inside 50,0.15,0
3,M,BALL USE,0.3,CONNECTING,0.2,Rebound 50,0.15,0
3,M,BALL USE,0.3,CONNECTING,0.2,I50 Disposal Pct,0.05,0
3,M,BALL USE,0.3,CONNECTING,0.2,R50 Disposal Pct,0.05,0
3,M,BALL USE,0.3,CONNECTING,0.2,Running Bounce,0.1,0
3,M,BALL USE,0.3,CONNECTING,0.2,Handball Receive,0.15,0
3,M,BALL USE,0.3,CONNECTING,0.2,Mark Play On,0.1,0
3,M,BALL USE,0.3,CONNECTING,0.2,Contested Knock On,0.05,0
3,M,BALL USE,0.3,CONNECTING,0.2,Score Assist,0.1,0
3,M,BALL USE,0.3,CONNECTING,0.2,Score Involvement,0.1,0
3,M,AERIAL,0.15,MARKING,0.35,Mark,0.4,0
3,M,AERIAL,0.15,MARKING,0.35,Mark Dropped Inverted,0.05,1
3,M,AERIAL,0.15,MARKING,0.35,Mark On Lead,0.15,0
3,M,AERIAL,0.15,MARKING,0.35,Mark Disposal Pct,0.4,0
3,M,AERIAL,0.15,CONTESTED,0.45,Contested Mark,0.5,0
3,M,AERIAL,0.15,CONTESTED,0.45,Contested Mark From Opp,0.15,0
3,M,AERIAL,0.15,CONTESTED,0.45,Free Against Marking Inverted,0.05,1
